threshold,tp,fp,tn,fn,precision,recall,f1,specificity,false_positive_rate,false_negative_rate,accuracy,predicted_positive_rate
0.2478519369154588,13366,27391,27670,3076,0.3279436661187035,0.812918136479747,0.46735082781167503,0.5025335536949929,0.4974664463050072,0.18708186352025302,0.5739059899584633,0.5700040557738836
0.2484342903877756,13344,27234,27827,3098,0.32884814431465326,0.8115800997445566,0.4680462995440196,0.5053849367065618,0.4946150632934382,0.1884199002554434,0.5757940226284212,0.5675006643077913
0.2490895530847757,13329,27070,27991,3113,0.32993390925517957,0.8106678019705632,0.46899245263102346,0.5083634514447612,0.49163654855523875,0.18933219802943682,0.5778778512789673,0.564997272841699
0.2496686230595077,13305,26915,28146,3137,0.3308055693684734,0.8092081255321737,0.46962691045144894,0.5111785111058644,0.48882148889413557,0.1907918744678263,0.5797099422401857,0.5624938813756066
0.25,13292,26821,28240,3150,0.33136389699100044,0.8084174674613794,0.47005569799310404,0.5128857085777592,0.4871142914222408,0.1915825325386206,0.5808427618421604,0.5609974406668252
0.25021565026438863,13279,26763,28298,3163,0.33162679186853805,0.8076268093905851,0.47018624743290144,0.5139390857412688,0.4860609142587312,0.1923731906094149,0.5814721060654797,0.5600044753366992
0.2508582069106528,13253,26610,28451,3189,0.33246368813185156,0.8060454932489964,0.4707574815735724,0.5167178220519061,0.4832821779480939,0.19395450675100354,0.5832482553179587,0.5575010838706068
0.2515568105084904,13225,26459,28602,3217,0.33325773611531095,0.8043425374042087,0.4712610911164166,0.5194602350120775,0.4805397649879225,0.19565746259579125,0.5849684628616981,0.5549976924045145
0.25211722531472164,13200,26305,28756,3242,0.3341349196304265,0.8028220411142197,0.47187516756930675,0.5222571329979477,0.47774286700205226,0.19717795888578032,0.5867725829685467,0.5524943009384221
0.2525,13184,26191,28870,3258,0.33483174603174604,0.8018489234886267,0.47240088145188747,0.524327563974501,0.47567243602549897,0.19815107651137331,0.5881431548326643,0.5506761954043886
0.25266510360786393,13177,26150,28911,3265,0.3350624253057696,0.8014231845274298,0.4725564381645717,0.5250721926590509,0.47492780734094914,0.19857681547257025,0.58861865935695,0.5500048948995147
